title,2768
geo_accession,2768
status,2768
submission_date,2768
last_update_date,2768
type,2768
channel_count,2768
source_name_ch1,2768
organism_ch1,2768
taxid_ch1,2768
characteristics_ch1,2768
growth_protocol_ch1,638
molecule_ch1,2768
extract_protocol_ch1,2768
data_processing,2768
platform_id,2768
contact_name,2768
contact_email,2565
contact_laboratory,736
contact_department,810
contact_institute,2768
contact_address,2768
contact_city,2768
contact_state,643
contact_zip/postal_code,2768
contact_country,2768
instrument_model,2756
library_selection,2756
library_source,2756
library_strategy,2756
relation,2752
supplementary_file_1,2756
series_id,2768
data_row_count,2768
treatment_protocol_ch1,399
description,2105
supplementary_file_2,32
supplementary_file_3,24
label_ch1,12
label_protocol_ch1,12
hyb_protocol,12
scan_protocol,12
supplementary_file,12
contact_phone,334
